Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€225000,Chaussée de Bruxelles 23 (sur N5),3,C,179,0,0,4,0,32,2,1970,Good,0,2,0,0,2,0,Gas,10634689,1400
€349000,Avenue de l'araucaria 59,2,G,588,0,0,0,0,60,2,1964,Good,0,1,1,0,1,Installed,Gas,10667427,1070
€75000,Poteauerstrasse 90,2,G,603,0,0,0,410,0,3,0,To renovate,0,1,0,0,0,0,0,4720,20
€349000,Kempische Steenweg 398,3,F,615,No,Yes,0,1371,0,4,0,Good,0,2,0,0,0,0,Fuel oil,10667417,3600
€189000,Chaussée de Gand 1156,1,F,312,No,0,3,0,33,0,1974,Good,0,1,0,0,1,Not installed,0,10667415,1090
€490000,Rue de Laeken 91,5,Not specified,Not specified,0,0,12,96,26,2,1981,To be done up,0,4,1,Yes,4,0,0,10667413,1000
€425000,Rue de Laeken 91,4,G,364,0,0,0,0,38,2,1914,0,0,2,0,0,3,Semi equipped,Gas,10667412,1000
€490000,Rue de Laeken 91,5,Not specified,Not specified,0,0,12,96,26,2,1981,To be done up,0,4,1,Yes,4,0,0,10667411,1000
€425000,Rue de Laeken 91,4,G,364,0,0,0,0,38,2,1914,0,0,2,0,0,3,Semi equipped,Gas,10667410,1000
€650000,"Route de Mons, 313",4,D,340,0,Yes,0,4026,0,4,0,Good,0,1,0,0,1,Not installed,Fuel oil,10667408,6500
€172500,Rue de Jolimont 146,1,E,416,0,0,0,0,45,2,0,Good,0,1,0,0,1,USA installed,Electric,10667406,1400
€650000,"Route de Mons, 313",4,D,340,0,Yes,0,4026,0,4,0,Good,0,1,0,0,1,Not installed,Fuel oil,10667405,6500
€2.800,Gentse Baan 45A,2,F,726,No,0,0,80,0,2,1874,To be done up,0,1,0,Yes,0,0,Gas,10667400,9100
€1290000,"Rue de Hotton, 22",4,A,62,0,0,270,5819,250,4,2015,0,0,2,2,Yes,4,USA hyper equipped,0,10667399,6940
€799900,Bredabaan 260,7,C,300,0,0,50,1470,60,4,1936,As new,0,2,0,Yes,2,0,0,10551415,2390
€,Izegemstraat 355,4,F,816,0,Yes,0,964,0,4,1962,To renovate,0,0,0,0,0,0,0,10667398,8710
€495000,Izegemstraat 355,3,C,263,0,Yes,0,1319,0,4,1995,0,0,0,0,0,0,0,0,10577313,8890
€495000,Izegemstraat 355,3,C,263,0,Yes,0,1319,0,4,1995,0,0,0,0,0,0,0,0,10577312,8890
€495000,Izegemstraat 355,3,C,263,0,Yes,0,1319,0,4,1995,0,0,0,0,0,0,0,0,10577311,8890
€,Izegemstraat 355,4,F,816,0,Yes,0,964,0,4,1962,To renovate,0,0,0,0,0,0,0,10568671,8710
€398000,Vrijheid 147,4,E,492,No,0,0,846,0,4,1988,Good,0,1,0,0,0,0,Electric,10667397,2322
€139000,Av. Henri Conscience 74,0,F,288,0,0,0,0,21,0,0,Good,0,0,1,0,1,0,Gas,10667396,1040
€300000,Place Mc Auliffe 40,3,D,271,0,0,0,1697,0,4,0,Just renovated,0,1,0,0,1,Installed,Gas,6640,3
€299000,Rue Archimède 17,1,G,653,No,Yes,0,0,0,2,1934,Good,0,1,0,0,0,0,Gas,10667393,1150
€149000,Bischoppenhoflaan 284,2,C,257,0,0,0,0,0,3,1968,Good,0,1,0,0,1,0,0,10667391,2100
€249000,Zuidlaan 72,3,F,522,Yes,0,185,0,47,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10667385,9230
€469000,Wingene-sesteenweg 52,3,E,442,0,0,25,6202,0,4,1965,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,10667384,9810
€1050000,Sint-Laurentuisstraat 50D,3,B,112,0,Yes,0,25000,0,0,0,0,0,1,1,0,2,Hyper equipped,0,10667383,2820
€710000,Avenue de Tervuren 113,4,Not specified,Not specified,No,Yes,0,150,0,2,0,To be done up,0,2,2,0,2,USA semi equipped,0,10667379,1150
€165000,Rue Lantigné 22,2,D,328,Yes,0,0,2500,0,4,0,0,0,1,0,0,1,0,Gas,6983,20
€195000,Rue Hankar 6,7,F,488,No,0,12,0,0,2,0,0,0,0,1,0,2,0,Gas,10667376,7000
€249000,Avenue de Bouillon 3,2,G,603,No,0,0,800,0,4,0,0,0,1,0,0,1,0,Fuel oil,10667374,6800
€180000,Bergensesteenweg 89,2,C,257,0,Yes,0,140,65,2,1930,Good,0,1,0,No,1,0,Gas,10667372,1750
€695000,Stationsstraat 76,4,E,425,0,0,0,1484,0,4,1990,Good,0,1,0,No,2,0,Electric,10667370,9750
